Date,Open,High,Low,Close,Volume,Adj Close
2017-12-29,280.06,287.91,279.16,287.75,2968304.0,287.75
2017-12-28,275.48,288.32,274.66,278.09,3737694.0,278.09
2017-12-27,278.26,280.55,274.0,275.48,1983957.0,275.48
2017-12-26,286.19,289.54,274.0,279.81,3515702.0,279.81
2017-12-25,276.46,281.37,274.0,280.96,3178168.0,280.96
2017-12-22,276.87,280.71,273.1,273.51,1193367.0,273.51
2017-12-21,266.72,281.61,266.23,276.87,3190938.0,276.87
2017-12-20,264.19,271.06,262.14,268.69,3036586.0,268.69
2017-12-19,260.26,267.3,260.26,265.74,2396420.0,265.74
2017-12-18,265.01,267.38,257.64,259.85,1897567.0,259.85
2017-12-15,268.61,269.83,260.35,263.78,1867385.0,263.78
2017-12-14,271.8,271.8,262.96,267.38,2557791.0,267.38
2017-12-13,261.74,272.78,256.83,272.12,3930519.0,272.12
2017-12-12,259.85,267.54,256.42,260.51,2527305.0,260.51
2017-12-11,252.41,263.62,250.69,259.85,2328776.0,259.85
2017-12-08,250.28,256.66,246.6,251.51,3255162.0,251.51
2017-12-07,240.31,249.47,237.44,249.47,3111273.0,249.47
2017-12-06,239.16,243.41,235.97,239.81,2716462.0,239.81
2017-12-05,246.93,246.93,235.89,238.42,3504922.0,238.42
2017-12-04,246.6,253.06,245.21,246.85,2132221.0,246.85
2017-12-01,248.32,255.44,247.01,248.49,2217818.0,248.49
2017-11-30,255.6,256.17,249.22,249.3,1651485.0,249.3
2017-11-29,252.74,262.55,251.35,256.25,2589338.0,256.25
2017-11-28,245.21,253.56,245.21,252.74,1597879.0,252.74
2017-11-27,257.24,261.24,241.45,245.46,2418918.0,245.46
2017-11-24,258.55,262.88,251.26,259.53,2908073.0,259.53
2017-11-23,269.01,271.47,257.73,259.44,3764053.0,259.44
2017-11-22,258.46,273.19,258.46,269.91,6573866.0,269.91
2017-11-21,278.26,280.06,255.19,258.22,6556316.0,258.22
2017-11-20,264.19,281.37,264.19,278.5,2602538.0,278.5
2017-11-17,274.9,278.42,266.72,268.93,3089977.0,268.93
2017-11-16,281.37,281.45,273.19,275.64,2199518.0,275.64
2017-11-15,279.16,282.84,274.08,281.2,3139605.0,281.2
2017-11-14,283.41,286.27,273.19,278.91,4926791.0,278.91
2017-11-13,269.1,284.15,268.77,281.12,5825483.0,281.12
2017-11-10,260.92,272.04,260.75,271.8,4159575.0,271.8
2017-11-09,257.89,265.82,257.89,261.49,2897483.0,261.49
2017-11-08,262.23,266.64,259.28,259.53,2221606.0,259.53
2017-11-07,255.6,264.43,255.6,263.62,4065588.0,263.62
2017-11-06,247.83,257.64,247.09,255.52,4686790.0,255.52
2017-11-03,245.54,251.92,244.56,248.08,4330878.0,248.08
2017-11-02,252.49,255.35,250.04,251.27,3183256.0,251.27
2017-11-01,259.94,260.02,246.6,253.56,6031956.0,253.56
2017-10-31,262.47,263.29,256.25,259.69,2056108.0,259.69
2017-10-30,259.12,265.58,257.64,261.9,4085485.0,261.9
2017-10-27,262.8,263.86,253.56,258.14,4088530.0,258.14
2017-10-26,264.84,266.56,262.23,265.01,2223803.0,265.01
2017-10-25,264.27,266.64,260.83,266.31,2956134.0,266.31
2017-10-24,265.33,267.05,260.1,265.82,3112867.0,265.82
2017-10-23,261.74,264.93,257.81,261.74,2444662.0,261.74
2017-10-20,259.85,262.55,256.42,259.2,1388626.0,259.2
2017-10-19,254.13,263.29,252.74,260.26,2221757.0,260.26
2017-10-18,250.53,256.83,249.55,254.78,2286279.0,254.78
2017-10-17,252.0,253.56,248.81,250.61,1654941.0,250.61
2017-10-16,258.46,259.69,251.59,252.98,2262707.0,252.98
2017-10-13,259.61,260.1,252.33,257.97,4141991.0,257.97
2017-10-12,256.91,261.82,252.74,257.97,5144427.0,257.97
2017-10-11,257.24,268.85,250.12,252.33,9601168.0,252.33
2017-10-10,245.79,256.01,243.9,251.59,5597431.0,251.59
2017-10-09,238.01,247.5,238.01,243.74,3471525.0,243.74
2017-09-29,231.8,237.03,230.74,236.95,1596105.0,236.95
2017-09-28,234.99,234.99,229.92,230.65,1076400.0,230.65
2017-09-27,230.49,233.27,229.1,233.19,1839827.0,233.19
2017-09-26,237.69,240.14,226.97,229.67,3518315.0,229.67
2017-09-25,233.19,244.97,232.45,237.85,3901990.0,237.85
2017-09-22,233.44,236.22,226.65,234.83,3594153.0,234.83
2017-09-21,233.52,238.02,232.29,233.84,3817475.0,233.84
2017-09-20,235.56,237.03,230.65,232.37,2126943.0,232.37
2017-09-19,232.21,236.87,230.65,235.07,3823348.0,235.07
2017-09-18,225.7,233.36,225.45,231.49,4235732.0,231.49
2017-09-15,221.95,227.0,221.95,225.7,3066733.0,225.7
2017-09-14,214.78,224.15,214.37,224.07,3265419.0,224.07
2017-09-13,214.37,216.32,213.72,215.92,1727496.0,215.92
2017-09-12,214.53,216.49,212.9,214.37,2290608.0,214.37
2017-09-11,217.06,217.06,212.57,214.37,1655322.0,214.37
2017-09-08,216.08,218.61,214.21,216.81,1910752.0,216.81
2017-09-07,221.87,223.01,215.1,217.22,2882230.0,217.22
2017-09-06,222.52,223.33,219.99,221.87,1462573.0,221.87
2017-09-05,215.26,222.52,215.26,222.52,2214057.0,222.52
2017-09-04,217.63,218.28,213.55,217.47,1153260.0,217.47
2017-09-01,218.28,219.01,214.45,217.95,1430370.0,217.95
2017-08-31,216.49,218.44,216.0,217.06,970742.0,217.06
2017-08-30,222.52,222.52,215.18,216.0,2511300.0,216.0
2017-08-29,219.09,222.93,219.09,221.21,1302496.0,221.21
2017-08-28,219.99,221.95,217.14,219.5,1629974.0,219.5
2017-08-25,217.63,222.52,216.81,219.34,2070826.0,219.34
2017-08-24,224.15,224.15,216.49,218.61,1775008.0,218.61
2017-08-23,220.72,225.29,220.72,224.15,1808772.0,224.15
2017-08-22,221.38,224.64,219.34,220.24,1543952.0,220.24
2017-08-21,219.99,224.56,218.44,220.72,1809952.0,220.72
2017-08-18,224.07,224.64,220.48,221.46,897908.0,221.46
2017-08-17,222.68,224.88,220.32,224.72,1118474.0,224.72
2017-08-16,223.74,225.62,222.93,222.93,1396932.0,222.93
2017-08-15,225.94,228.06,222.76,223.74,1380652.0,223.74
2017-08-14,220.48,227.57,219.66,226.84,2482463.0,226.84
2017-08-11,216.08,222.11,216.08,220.64,1574293.0,220.64
2017-08-10,219.99,222.76,217.63,218.03,2280870.0,218.03
2017-08-09,219.42,222.52,217.63,221.38,2951249.0,221.38
2017-08-08,214.69,219.26,212.98,219.18,2197641.0,219.18
2017-08-07,212.09,217.22,212.0,214.53,1962262.0,214.53
2017-08-04,214.2,215.18,212.74,212.98,1500157.0,212.98
2017-08-03,205.16,216.81,205.16,214.78,4450514.0,214.78
2017-08-02,212.66,212.66,205.16,205.16,2276915.0,205.16
2017-08-01,211.03,213.55,210.37,212.25,1306827.0,212.25
2017-07-31,211.19,214.61,210.29,212.0,1619088.0,212.0
2017-07-28,212.66,215.92,210.94,211.43,1782686.0,211.43
2017-07-27,208.25,214.2,205.65,213.15,2426734.0,213.15
2017-07-26,199.86,210.86,199.7,209.07,2737001.0,209.07
2017-07-25,205.56,207.85,199.21,200.35,1927868.0,200.35
2017-07-24,203.36,209.72,202.55,206.38,1749299.0,206.38
2017-07-21,203.85,206.22,202.14,203.2,1440855.0,203.2
2017-07-20,205.4,207.44,203.44,205.24,1638989.0,205.24
2017-07-19,201.0,206.13,197.25,204.75,2245270.0,204.75
2017-07-18,203.44,209.15,198.88,200.92,2884408.0,200.92
2017-07-17,210.29,210.78,203.44,204.02,2349497.0,204.02
2017-07-14,215.92,218.2,210.29,212.09,2169056.0,212.09
2017-07-13,210.78,217.95,210.7,216.73,2271549.0,216.73
2017-07-12,209.48,212.98,208.34,212.09,2037954.0,212.09
2017-07-11,209.64,213.39,209.07,210.37,1455996.0,210.37
2017-07-10,215.43,215.43,208.25,210.37,2175378.0,210.37
2017-07-07,215.43,216.65,212.57,214.37,1905115.0,214.37
2017-07-06,215.26,216.08,212.66,214.29,1704672.0,214.29
2017-07-05,218.69,218.69,210.62,212.17,3376042.0,212.17
2017-07-04,212.25,218.93,212.25,215.51,5581215.0,215.51
2017-07-03,204.02,216.98,204.02,212.98,10593145.0,212.98
2017-06-30,198.47,199.62,195.29,197.25,1111151.0,197.25
2017-06-29,195.78,197.5,195.78,196.68,966791.0,196.68
2017-06-28,195.29,197.09,193.18,197.09,1127368.0,197.09
2017-06-27,194.89,198.64,194.89,196.03,961246.0,196.03
2017-06-26,196.44,197.58,193.58,195.46,1395258.0,195.46
2017-06-23,190.41,196.27,190.08,195.95,2119055.0,195.95
2017-06-22,194.4,196.84,189.91,190.41,1907548.0,190.41
2017-06-21,199.04,199.21,193.5,193.99,1932560.0,193.99
2017-06-20,199.7,201.25,196.84,198.07,1315754.0,198.07
2017-06-19,195.54,200.43,194.48,199.7,1234085.0,199.7
2017-06-16,201.08,202.06,192.52,195.62,1631634.0,195.62
2017-06-15,199.45,203.77,197.5,200.59,1330770.0,200.59
2017-06-14,198.07,201.08,195.38,197.58,1418804.0,197.58
2017-06-13,193.01,199.37,190.89,197.41,1090281.0,197.41
2017-06-12,193.18,196.35,192.52,193.01,1145578.0,193.01
2017-06-09,197.25,197.25,194.07,195.46,650212.0,195.46
2017-06-08,196.03,198.64,193.58,197.25,1806963.0,197.25
2017-06-07,186.41,196.44,186.41,196.03,3182161.0,196.03
2017-06-06,184.7,191.55,184.7,186.25,1825640.0,186.25
2017-06-05,181.76,186.41,179.81,184.7,2386182.0,184.7
2017-06-02,187.47,188.2,173.61,179.4,5226991.0,179.4
2017-06-01,197.9,198.8,186.33,187.31,2790369.0,187.31
2017-05-31,203.53,203.69,197.25,197.9,836149.0,197.9
2017-05-26,201.25,203.45,198.23,201.9,1159324.0,201.9
2017-05-25,204.51,204.51,196.68,201.73,1272902.0,201.73
2017-05-24,199.7,204.59,197.33,203.04,693068.0,203.04
2017-05-23,203.69,205.56,200.51,200.68,1115504.0,200.68
2017-05-22,209.4,210.78,202.14,203.45,1600200.0,203.45
2017-05-19,209.07,211.84,208.58,208.74,1006693.0,208.74
2017-05-18,212.33,213.96,209.97,210.86,1080269.0,210.86
2017-05-17,208.25,213.8,206.3,212.33,2220499.0,212.33
2017-05-16,205.81,209.07,202.14,208.58,1450924.0,208.58
2017-05-15,208.58,209.88,204.42,204.51,1084936.0,204.51
2017-05-12,205.0,214.37,205.0,208.58,2107405.0,208.58
2017-05-11,205.4,208.25,199.53,202.96,1575047.0,202.96
2017-05-10,205.4,210.13,205.4,206.87,1248234.0,206.87
2017-05-09,208.34,211.76,204.59,205.4,1391055.0,205.4
2017-05-08,208.5,210.13,203.94,205.32,1287235.0,205.32
2017-05-05,212.0,214.69,206.79,208.83,2149412.0,208.83
2017-05-04,212.33,214.61,211.03,213.55,1732701.0,213.55
2017-05-03,208.25,213.39,208.25,212.33,2289930.0,212.33
2017-05-02,207.19,212.9,207.19,209.97,1098712.0,209.97
2017-04-28,207.6,209.8,206.05,207.2,1769613.0,207.2
2017-04-27,197.99,211.19,196.44,207.52,3052818.0,207.52
2017-04-26,199.7,200.19,193.34,197.99,2798323.0,197.99
2017-04-25,196.03,203.12,196.03,198.88,4113335.0,198.88
2017-04-17,204.59,206.22,200.92,202.79,2266745.0,202.79
2017-04-14,207.03,209.23,204.75,206.71,2414255.0,206.71
2017-04-13,201.98,207.85,201.98,205.08,1918511.0,205.08
