Date,Open,High,Low,Close,Volume,Adj Close
2017-12-29,219.95,222.55,212.43,216.52,3682205.0,216.52
2017-12-28,213.82,220.51,212.1,219.95,4275158.0,219.95
2017-12-27,216.95,217.28,210.68,211.44,3430351.0,211.44
2017-12-26,219.59,220.44,214.51,216.29,2889799.0,216.29
2017-12-25,223.87,227.0,217.61,220.11,2941041.0,220.11
2017-12-22,226.94,230.14,218.86,224.13,4051652.0,224.13
2017-12-21,226.67,232.94,225.62,228.22,4318512.0,228.22
2017-12-20,217.61,230.3,217.44,227.93,5486096.0,227.93
2017-12-19,216.45,221.4,214.31,219.49,2921342.0,219.49
2017-12-18,215.17,222.45,215.17,216.39,3567694.0,216.39
2017-12-15,216.16,220.87,213.85,215.1,2708023.0,215.1
2017-12-14,219.29,219.49,215.33,217.61,4053542.0,217.61
2017-12-13,205.34,219.78,205.34,219.59,4972365.0,219.59
2017-12-12,208.47,212.2,204.58,204.95,3497541.0,204.95
2017-12-11,204.32,211.01,204.32,208.31,4018565.0,208.31
2017-12-08,195.85,204.42,195.29,204.32,2586643.0,204.32
2017-12-07,201.98,203.1,195.52,196.18,2290966.0,196.18
2017-12-06,204.65,209.0,200.46,201.95,2296754.0,201.95
2017-12-05,208.57,212.96,204.42,207.06,3507265.0,207.06
2017-12-04,203.73,213.32,201.19,210.02,3055868.0,210.02
2017-12-01,200.59,204.78,197.82,203.79,3450048.0,203.79
2017-11-30,197.92,203.13,195.55,200.63,1813510.0,200.63
2017-11-29,202.51,202.51,194.53,199.8,2652143.0,199.8
2017-11-28,196.28,203.76,196.24,202.77,3248558.0,202.77
2017-11-27,200.82,201.12,191.86,198.55,3966693.0,198.55
2017-11-24,206.0,207.91,194.56,201.78,5044876.0,201.78
2017-11-23,217.28,217.28,204.42,206.4,5099657.0,206.4
2017-11-22,224.89,227.43,218.37,219.52,4590804.0,219.52
2017-11-21,216.02,226.21,216.02,224.89,3892152.0,224.89
2017-11-20,217.61,218.6,207.22,216.95,2859949.0,216.95
2017-11-17,226.84,228.16,213.19,218.86,5339127.0,218.86
2017-11-16,227.47,231.19,224.2,230.79,4792855.0,230.79
2017-11-15,226.18,230.73,223.61,227.27,3750201.0,227.27
2017-11-14,235.08,235.64,224.2,224.56,4546806.0,224.56
2017-11-13,241.68,241.68,234.42,235.41,3662304.0,235.41
2017-11-10,240.36,247.94,237.59,242.2,3645106.0,242.2
2017-11-09,243.65,243.65,235.74,240.98,3790479.0,240.98
2017-11-08,246.62,248.93,239.37,244.94,3175495.0,244.94
2017-11-07,244.21,257.53,241.44,244.31,4348322.0,244.31
2017-11-06,232.11,245.63,231.98,244.35,3740907.0,244.35
2017-11-03,230.76,237.39,229.18,234.59,3277645.0,234.59
2017-11-02,236.1,238.05,229.05,230.47,3015617.0,230.47
2017-11-01,240.03,243.26,236.07,237.39,2465868.0,237.39
2017-10-31,238.71,241.94,232.44,240.62,2585667.0,240.62
2017-10-30,228.16,243.26,224.2,238.81,6314288.0,238.81
2017-10-27,223.34,233.83,223.34,231.26,3776715.0,231.26
2017-10-26,223.9,231.95,223.9,224.2,4240967.0,224.2
2017-10-25,220.54,222.55,217.61,218.79,2511990.0,218.79
2017-10-24,223.21,223.81,216.95,221.83,2989138.0,221.83
2017-10-23,221.99,225.29,218.6,222.62,2699738.0,222.62
2017-10-20,229.25,229.71,216.29,221.99,3942332.0,221.99
2017-10-19,225.85,236.66,225.85,231.78,3942137.0,231.78
2017-10-18,221.33,227.5,218.6,227.33,2992424.0,227.33
2017-10-17,221.93,227.17,217.31,220.9,2999123.0,220.9
2017-10-16,225.95,230.4,218.83,221.56,3688574.0,221.56
2017-10-13,229.71,233.47,225.78,228.45,2791111.0,228.45
2017-10-12,231.12,234.09,225.29,230.47,3099895.0,230.47
2017-10-11,219.59,236.99,216.95,231.12,4990215.0,231.12
2017-10-10,211.67,223.74,211.41,221.2,3710057.0,221.2
2017-10-09,208.01,215.76,204.35,213.85,4738141.0,213.85
2017-09-29,203.36,213.78,199.94,204.02,5846968.0,204.02
2017-09-28,192.55,206.99,191.43,204.02,7191060.0,204.02
2017-09-27,188.49,191.72,186.61,191.49,3511871.0,191.49
2017-09-26,190.74,192.06,185.06,189.42,3380200.0,189.42
2017-09-25,189.58,192.85,187.9,191.23,4391010.0,191.23
2017-09-22,189.91,193.04,184.21,190.67,5573850.0,190.67
2017-09-21,191.2,193.8,186.32,189.91,5466693.0,189.91
2017-09-20,186.71,199.11,186.71,189.55,10626088.0,189.55
2017-09-19,187.93,189.58,183.02,187.87,9250822.0,187.87
2017-09-18,168.28,186.15,168.28,186.15,10035021.0,186.15
2017-09-15,170.79,172.34,168.15,169.24,2344765.0,169.24
2017-09-14,172.83,175.01,170.36,171.35,2865489.0,171.35
2017-09-13,171.65,177.78,171.22,173.29,4879686.0,173.29
2017-09-12,168.15,172.6,166.47,172.6,4006521.0,172.6
2017-09-11,162.81,168.74,161.85,168.48,4013590.0,168.48
2017-09-08,164.19,164.82,161.82,163.01,2307508.0,163.01
2017-09-07,168.38,168.48,164.46,165.02,3573002.0,165.02
2017-09-06,170.33,170.46,167.95,168.38,1497564.0,168.38
2017-09-05,170.19,171.45,169.83,170.33,1506427.0,170.33
2017-09-04,169.8,171.45,167.1,171.45,3590530.0,171.45
2017-09-01,170.16,171.25,169.47,170.26,2072228.0,170.26
2017-08-31,172.47,173.36,168.55,170.79,2862896.0,170.79
2017-08-30,172.97,173.36,169.5,172.47,3499177.0,172.47
2017-08-29,171.38,174.25,169.87,173.62,3511315.0,173.62
2017-08-28,174.75,176.39,171.45,171.78,8488433.0,171.78
2017-08-25,166.87,170.95,166.87,170.19,2277935.0,170.19
2017-08-24,168.84,169.44,166.11,166.47,2366578.0,166.47
2017-08-23,167.82,169.77,166.83,169.31,2444430.0,169.31
2017-08-22,171.22,171.22,165.38,167.95,4208126.0,167.95
2017-08-21,173.53,174.09,169.8,171.97,2926275.0,171.97
2017-08-18,173.43,174.65,170.99,173.1,2695987.0,173.1
2017-08-17,175.73,175.73,171.61,173.36,2856143.0,173.36
2017-08-16,176.06,177.84,172.5,174.25,3201369.0,174.25
2017-08-15,178.8,180.61,174.78,176.56,4095242.0,176.56
2017-08-14,178.04,186.94,176.53,181.11,4772173.0,181.11
2017-08-11,179.69,183.98,177.55,178.67,3442541.0,178.67
2017-08-10,178.21,187.27,177.58,181.27,6781402.0,181.27
2017-08-09,169.27,179.95,169.27,178.21,5605096.0,178.21
2017-08-08,176.16,179.23,169.24,170.46,6443720.0,170.46
2017-08-07,168.31,178.04,166.93,176.99,4266641.0,176.99
2017-08-04,170.75,172.5,168.15,168.94,2418730.0,168.94
2017-08-03,173.95,178.7,169.96,171.15,3902399.0,171.15
2017-08-02,177.91,179.23,173.19,174.71,3913321.0,174.71
2017-08-01,177.35,181.6,176.39,178.27,4259198.0,178.27
