Date,Open,High,Low,Close,Volume,Adj Close
2017-12-29,163.09,164.1,159.44,160.54,104001801.0,160.54
2017-12-28,161.28,163.84,159.83,161.94,113088642.0,161.94
2017-12-27,168.5,168.5,160.63,161.39,150683445.0,161.39
2017-12-26,170.02,171.05,167.19,169.63,83228950.0,169.63
2017-12-25,169.9,174.74,168.32,170.13,110997896.0,170.13
2017-12-22,171.6,172.52,168.91,169.81,71952658.0,169.81
2017-12-21,168.94,173.39,167.95,171.85,93470766.0,171.85
2017-12-20,168.59,171.12,167.65,169.63,93938288.0,169.63
2017-12-19,162.68,168.91,162.22,168.8,127058305.0,168.8
2017-12-18,161.07,165.01,161.07,162.12,67911699.0,162.12
2017-12-15,162.17,163.89,160.7,161.46,73554722.0,161.46
2017-12-14,165.45,165.54,161.96,162.9,67618694.0,162.9
2017-12-13,163.36,166.6,161.05,165.45,86511781.0,165.45
2017-12-12,168.04,168.75,163.27,163.36,77790078.0,163.36
2017-12-11,163.34,168.18,162.47,168.04,113992734.0,168.04
2017-12-08,158.16,164.85,157.51,164.0,109563228.0,164.0
2017-12-07,159.1,160.15,155.08,157.47,85970358.0,157.47
2017-12-06,162.65,163.11,156.0,159.21,124560752.0,159.21
2017-12-05,158.06,164.03,157.79,163.34,169253953.0,163.34
2017-12-04,155.08,161.39,154.55,159.19,115928317.0,159.19
2017-12-01,159.78,161.0,155.79,156.23,139304603.0,156.23
2017-11-30,163.73,164.42,159.56,160.4,116373317.0,160.4
2017-11-29,168.71,170.2,163.48,166.14,87500464.0,166.14
2017-11-28,166.78,168.71,164.9,166.85,78646962.0,166.85
2017-11-27,171.37,171.83,164.14,168.73,163723233.0,168.73
2017-11-24,170.11,173.11,166.8,171.19,131784376.0,171.19
2017-11-23,175.73,179.95,169.07,170.5,157621088.0,170.5
2017-11-22,182.38,183.44,175.68,177.68,129348799.0,177.68
2017-11-21,172.36,182.79,172.36,179.95,144556937.0,179.95
2017-11-20,171.55,175.48,169.92,173.69,114128113.0,173.69
2017-11-17,166.78,172.79,164.72,172.68,158039374.0,172.68
2017-11-16,157.83,167.72,157.72,167.49,116376446.0,167.49
2017-11-15,160.54,161.57,157.35,158.75,100945992.0,158.75
2017-11-14,162.17,163.55,160.06,161.55,80174828.0,161.55
2017-11-13,160.82,161.9,159.39,160.93,75220717.0,160.93
2017-11-10,151.41,160.47,151.25,160.34,125406037.0,160.34
2017-11-09,147.97,152.31,147.74,152.17,70866925.0,152.17
2017-11-08,150.03,152.21,147.56,148.22,86782083.0,148.22
2017-11-07,147.51,152.72,147.51,149.97,117356586.0,149.97
2017-11-06,148.41,148.43,144.34,146.85,90857015.0,146.85
2017-11-03,146.82,148.75,145.63,147.85,68143978.0,147.85
2017-11-02,147.28,147.72,144.53,147.14,82494651.0,147.14
2017-11-01,147.9,152.05,146.18,147.1,100111909.0,147.1
2017-10-31,145.68,147.97,145.24,147.65,51366189.0,147.65
2017-10-30,146.82,149.81,144.83,146.96,118383153.0,146.96
2017-10-27,141.09,146.78,141.04,146.66,87686093.0,146.66
2017-10-26,137.65,142.83,137.32,140.84,83684094.0,140.84
2017-10-25,137.88,138.66,136.98,137.83,38645697.0,137.83
