date,open,high,close,low,volume,amount
2017-12-29,163.09,164.1,160.54,159.44,104001801.0,7316476634.0
2017-12-28,161.28,163.84,161.94,159.83,113088642.0,7984386864.0
2017-12-27,168.5,168.5,161.39,160.63,150683445.0,10782720389.0
2017-12-26,170.02,171.05,169.63,167.19,83228950.0,6125332824.0
2017-12-25,169.9,174.74,170.13,168.32,110997896.0,8271645257.0
2017-12-22,171.6,172.52,169.81,168.91,71952658.0,5340481047.0
2017-12-21,168.94,173.39,171.85,167.95,93470766.0,6973083823.0
2017-12-20,168.59,171.12,169.63,167.65,93938288.0,6929166001.0
2017-12-19,162.68,168.91,168.8,162.22,127058305.0,9235563922.0
2017-12-18,161.07,165.01,162.12,161.07,67911699.0,4819171120.0
2017-12-15,162.17,163.89,161.46,160.7,73554722.0,5203043803.0
2017-12-14,165.45,165.54,162.9,161.96,67618694.0,4821543307.0
2017-12-13,163.36,166.6,165.45,161.05,86511781.0,6180930487.0
2017-12-12,168.04,168.75,163.36,163.27,77790078.0,5624415243.0
2017-12-11,163.34,168.18,168.04,162.47,113992734.0,8230209835.0
2017-12-08,158.16,164.85,164.0,157.51,109563228.0,7706090993.0
2017-12-07,159.1,160.15,157.47,155.08,85970358.0,5882969802.0
2017-12-06,162.65,163.11,159.21,156.0,124560752.0,8683330184.0
2017-12-05,158.06,164.03,163.34,157.79,169253953.0,11943537965.0
2017-12-04,155.08,161.39,159.19,154.55,115928317.0,8019893921.0
2017-12-01,159.78,161.0,156.23,155.79,139304603.0,9600520278.0
2017-11-30,163.73,164.42,160.4,159.56,116373317.0,8210562529.0
2017-11-29,168.71,170.2,166.14,163.48,87500464.0,6358820396.0
2017-11-28,166.78,168.71,166.85,164.9,78646962.0,5710613283.0
2017-11-27,171.37,171.83,168.73,164.14,163723233.0,11979068075.0
2017-11-24,170.11,173.11,171.19,166.8,131784376.0,9752487038.0
2017-11-23,175.73,179.95,170.5,169.07,157621088.0,11946905532.0
2017-11-22,182.38,183.44,177.68,175.68,129348799.0,10124738589.0
2017-11-21,172.36,182.79,179.95,172.36,144556937.0,11268384879.0
2017-11-20,171.55,175.48,173.69,169.92,114128113.0,8583176574.0
2017-11-17,166.78,172.79,172.68,164.72,158039374.0,11680087761.0
2017-11-16,157.83,167.72,167.49,157.72,116376446.0,8269151220.0
2017-11-15,160.54,161.57,158.75,157.35,100945992.0,6990987895.0
2017-11-14,162.17,163.55,161.55,160.06,80174828.0,5652540362.0
2017-11-13,160.82,161.9,160.93,159.39,75220717.0,5267340967.0
2017-11-10,151.41,160.47,160.34,151.25,125406037.0,8577347652.0
2017-11-09,147.97,152.31,152.17,147.74,70866925.0,4620472310.0
2017-11-08,150.03,152.21,148.22,147.56,86782083.0,5669830793.0
2017-11-07,147.51,152.72,149.97,147.51,117356586.0,7697028238.0
2017-11-06,148.41,148.43,146.85,144.34,90857015.0,5784912562.0
2017-11-03,146.82,148.75,147.85,145.63,68143978.0,4374187708.0
2017-11-02,147.28,147.72,147.14,144.53,82494651.0,5249507427.0
2017-11-01,147.9,152.05,147.1,146.18,100111909.0,6497719273.0
2017-10-31,145.68,147.97,147.65,145.24,51366189.0,3284189902.0
2017-10-30,146.82,149.81,146.96,144.83,118383153.0,7608700684.0
2017-10-27,141.09,146.78,146.66,141.04,87686093.0,5509478165.0
2017-10-26,137.65,142.83,140.84,137.32,83684094.0,5137430623.0
2017-10-25,137.88,138.66,137.83,136.98,38645697.0,2322425400.0
2017-10-24,137.12,140.08,138.1,136.8,70533642.0,4268526176.0
2017-10-23,137.03,138.06,137.37,135.81,51239175.0,3066104021.0
2017-10-20,135.35,136.38,135.4,134.53,45688147.0,2696601759.0
2017-10-19,135.49,137.53,136.71,134.89,74113891.0,4412200243.0
2017-10-18,133.2,135.42,135.31,132.76,71037948.0,4156056201.0
2017-10-17,131.7,133.65,132.92,131.22,63781573.0,3687434212.0
2017-10-16,131.91,134.32,131.15,130.97,74976923.0,4336232571.0
2017-10-13,130.56,131.75,130.95,130.14,50815330.0,2898031536.0
2017-10-12,126.63,131.2,131.02,126.45,89855011.0,5060866914.0
2017-10-11,125.95,127.83,126.89,125.14,66452795.0,3671752167.0
2017-10-10,125.85,127.37,125.99,123.45,96068320.0,5234374162.0
2017-10-09,128.7,129.62,125.62,125.51,88236199.0,4894508072.0
2017-09-29,123.24,124.68,124.25,122.57,43417231.0,2345094281.0
2017-09-28,122.96,123.81,123.28,122.32,39773746.0,2134157815.0
2017-09-27,124.11,124.43,122.96,122.64,46898447.0,2525092409.0
2017-09-26,123.86,124.64,124.45,123.77,42795845.0,2317837253.0
2017-09-25,124.0,125.56,124.25,123.47,65794494.0,3572267811.0
2017-09-22,122.85,124.68,123.97,122.78,54947182.0,2965926964.0
2017-09-21,121.95,124.43,123.47,121.61,72709201.0,3909123212.0
2017-09-20,122.6,123.19,121.77,121.59,58718913.0,3132558755.0
2017-09-19,123.17,123.97,122.64,121.84,62150655.0,3322570961.0
2017-09-18,122.21,124.98,122.28,122.21,75400296.0,4045828546.0
2017-09-15,124.09,124.34,122.46,121.93,75425944.0,4035496824.0
2017-09-14,126.41,126.75,123.93,123.65,51019115.0,2769164300.0
2017-09-13,125.72,127.0,126.34,124.64,39806983.0,2188825236.0
2017-09-12,124.98,125.88,125.74,122.99,55595400.0,3018230917.0
2017-09-11,126.66,128.42,123.86,123.7,80409842.0,4405694623.0
2017-09-08,125.95,127.37,126.22,125.79,29032223.0,1601029319.0
2017-09-07,127.55,128.06,125.97,125.79,32974056.0,1818266123.0
2017-09-06,128.58,129.34,127.09,126.38,42406310.0,2354829570.0
2017-09-05,127.09,129.85,129.13,126.43,56376990.0,3153737507.0
2017-09-04,127.35,127.46,126.52,125.74,48405138.0,2668523944.0
2017-09-01,127.43,129.68,127.7,126.41,57108347.0,3213848068.0
2017-08-31,128.07,128.82,127.38,126.29,48095720.0,2694501061.0
2017-08-30,129.59,131.02,128.25,127.91,47027718.0,2668794013.0
2017-08-29,127.54,130.16,129.72,127.04,41677419.0,2365449403.0
2017-08-28,127.27,131.29,127.77,127.27,80329569.0,4571588753.0
2017-08-25,124.81,127.82,126.93,124.68,74310600.0,4147141456.0
2017-08-24,126.29,127.95,125.31,124.93,56065476.0,3111185225.0
2017-08-23,125.06,126.93,125.95,124.63,56488435.0,3124559298.0
2017-08-22,121.43,125.63,125.5,121.22,100989678.0,5503927189.0
2017-08-21,121.41,123.41,120.56,120.0,71615254.0,3834637735.0
2017-08-18,119.13,122.45,120.88,117.36,117642875.0,6204026735.0
2017-08-17,117.02,117.83,116.18,115.65,37471148.0,1922044261.0
2017-08-16,115.61,116.61,116.43,114.88,34085106.0,1735515853.0
2017-08-15,115.49,117.22,115.72,115.04,68084953.0,3482968110.0
2017-08-14,113.65,115.95,114.79,112.86,79149496.0,3992982202.0
2017-08-11,114.13,115.33,112.72,112.61,82814563.0,4147670928.0
2017-08-10,118.38,119.25,115.33,114.83,84642315.0,4333370708.0
2017-08-09,119.02,120.13,118.36,118.22,41073411.0,2149503758.0
2017-08-08,118.9,119.5,119.25,118.02,36732251.0,1917168051.0
2017-08-07,118.02,120.13,118.95,117.15,52385217.0,2738587944.0
2017-08-04,120.47,120.93,118.08,117.88,66608738.0,3494563811.0
2017-08-03,122.86,123.86,120.31,120.22,56531164.0,3036337544.0
2017-08-02,124.61,124.63,122.86,122.5,72381745.0,3925861501.0
2017-08-01,118.68,124.81,124.7,118.68,114793661.0,6170850610.0
2017-07-31,117.95,119.68,118.27,116.88,61600507.0,3210189249.0
2017-07-28,118.68,119.27,117.97,117.77,49129473.0,2557067863.0
2017-07-27,117.88,119.9,119.04,116.15,66713294.0,3456657893.0
2017-07-26,118.45,119.36,117.97,116.58,65761087.0,3403982468.0
2017-07-25,119.63,120.61,118.93,118.63,50683483.0,2670578612.0
2017-07-24,118.4,120.72,119.61,117.49,90459593.0,4749136592.0
2017-07-21,120.95,121.13,118.13,117.99,129479193.0,6811105692.0
2017-07-20,121.75,123.11,122.79,120.09,65919874.0,3528872923.0
2017-07-19,122.04,123.86,122.41,120.75,77118069.0,4138848109.0
2017-07-18,121.86,123.36,121.56,119.38,87902953.0,4697173720.0
2017-07-17,120.52,125.25,122.54,119.18,140879134.0,7585579250.0
2017-07-14,117.52,120.02,119.97,116.63,70779162.0,3681295002.0
2017-07-13,115.9,117.9,117.38,115.56,66534298.0,3418210961.0
2017-07-12,116.77,119.36,115.06,114.63,87011734.0,4490986366.0
2017-07-11,115.52,118.24,116.47,115.06,69953963.0,3600296755.0
2017-07-10,114.76,116.88,115.01,114.02,57077601.0,2938274374.0
2017-07-07,115.05,116.11,114.74,113.66,53392598.0,2727331058.0
2017-07-06,113.41,116.97,115.59,112.62,113781480.0,5793924188.0
2017-07-05,107.97,114.04,113.41,107.97,127253722.0,6293926168.0
2017-07-04,109.77,109.86,107.79,107.77,68392065.0,3299813382.0
2017-07-03,112.02,112.02,110.08,109.21,56319918.0,2755923273.0
2017-06-30,112.02,112.92,111.59,110.85,59863098.0,2974857809.0
2017-06-29,109.77,112.58,112.38,108.82,75322875.0,3715241204.0
2017-06-28,111.79,111.88,109.34,109.21,69132247.0,3393564250.0
2017-06-27,111.79,112.36,112.29,110.06,78083585.0,3855524441.0
2017-06-26,112.44,114.2,111.84,111.0,95319255.0,4760578482.0
2017-06-23,110.76,112.24,111.84,109.75,87371964.0,4310012062.0
2017-06-22,110.67,113.52,110.53,110.33,114646405.0,5715913249.0
2017-06-21,108.64,111.48,111.19,106.98,84975718.0,4147969142.0
2017-06-20,109.7,110.06,108.19,107.23,61635533.0,2962329659.0
2017-06-19,105.63,109.39,109.23,105.02,80848191.0,3869638235.0
2017-06-16,103.69,106.12,105.04,103.69,80723142.0,3777604440.0
2017-06-15,106.15,106.78,103.88,103.27,104198333.0,4833899744.0
2017-06-14,109.39,109.86,106.19,105.72,83401397.0,3974060287.0
2017-06-13,109.66,110.67,108.96,107.74,67046122.0,3245558601.0
2017-06-12,108.01,111.66,110.06,108.01,85959680.0,4199730273.0
2017-06-09,107.29,109.7,108.28,106.84,92567674.0,4462205605.0
2017-06-08,103.25,107.18,107.11,103.06,83217137.0,3899227565.0
2017-06-07,103.92,105.45,103.42,102.82,78820064.0,3645872262.0
2017-06-06,100.32,103.69,103.54,100.32,96716968.0,4383686411.0
