Date,Open,High,Low,Close,Volume,Adj Close
2017-12-29,279.68,280.76,277.94,279.89,15291115.0,279.89
2017-12-28,279.68,284.03,277.5,280.33,28102638.0,280.33
2017-12-27,283.59,283.81,279.68,279.68,21482869.0,279.68
2017-12-26,282.94,285.98,282.5,283.81,16199833.0,283.81
2017-12-25,284.46,285.76,282.94,282.94,13049702.0,282.94
2017-12-22,284.24,288.16,283.81,284.46,14407494.0,284.46
2017-12-21,281.63,287.5,280.55,284.9,31697979.0,284.9
2017-12-20,287.07,287.51,281.63,281.85,31059606.0,281.85
2017-12-19,286.85,288.38,285.98,286.85,30992015.0,286.85
2017-12-18,292.73,293.6,286.42,286.85,31076985.0,286.85
2017-12-15,297.94,298.6,292.51,292.73,31474376.0,292.73
2017-12-14,305.12,305.56,297.73,298.38,28710647.0,298.38
2017-12-13,307.3,308.38,304.03,304.9,27281555.0,304.9
2017-12-12,310.34,310.77,306.43,306.64,13292263.0,306.64
2017-12-11,309.69,311.43,308.82,310.34,16146189.0,310.34
2017-12-08,309.25,311.64,309.04,309.47,13033638.0,309.47
2017-12-07,313.38,314.69,308.82,309.04,20788794.0,309.04
2017-12-06,315.34,316.87,312.08,316.0,37459918.0,316.0
2017-12-05,308.38,318.17,307.3,316.43,81555493.0,316.43
2017-12-04,309.25,311.43,304.03,308.82,38731474.0,308.82
2017-12-01,311.43,311.43,308.6,310.99,20384540.0,310.99
2017-11-30,310.56,314.69,309.04,310.77,24877497.0,310.77
2017-11-29,311.86,312.08,308.38,310.77,22681053.0,310.77
2017-11-28,310.99,312.3,308.82,311.64,20274700.0,311.64
2017-11-27,310.34,312.51,308.17,311.86,33437691.0,311.86
2017-11-24,311.64,312.08,306.64,311.43,50193986.0,311.43
2017-11-23,315.78,317.95,306.64,310.77,41455601.0,310.77
2017-11-22,316.43,319.26,313.82,315.56,42764051.0,315.56
2017-11-21,311.21,323.17,307.95,316.43,84531431.0,316.43
2017-11-20,311.64,314.91,307.73,308.6,38854626.0,308.6
2017-11-17,305.56,315.34,303.38,314.47,85728993.0,314.47
2017-11-16,310.99,311.43,305.34,305.56,29068601.0,305.56
2017-11-15,308.38,313.17,308.38,311.86,33074007.0,311.86
2017-11-14,314.91,315.12,311.86,312.3,22239705.0,312.3
2017-11-13,317.08,318.39,314.25,314.69,20880203.0,314.69
2017-11-10,316.86,317.73,314.04,316.21,23067129.0,316.21
2017-11-09,317.08,319.26,315.34,317.52,20967799.0,317.52
2017-11-08,314.47,323.17,314.04,318.17,48030457.0,318.17
2017-11-07,314.91,316.65,312.73,315.12,25285554.0,315.12
2017-11-06,313.82,314.69,312.3,313.17,12070117.0,313.17
2017-11-03,314.04,315.78,310.99,315.34,30377279.0,315.34
2017-11-02,313.82,315.78,311.86,314.04,18288205.0,314.04
2017-11-01,315.34,315.78,312.95,312.95,18511910.0,312.95
2017-10-31,316.43,317.3,313.38,314.91,19893757.0,314.91
2017-10-30,319.69,320.34,310.56,318.82,47934934.0,318.82
2017-10-27,320.56,321.65,319.26,319.69,12398495.0,319.69
2017-10-26,320.78,322.52,319.04,320.56,19822717.0,320.56
2017-10-25,322.08,322.95,319.69,321.0,19409419.0,321.0
2017-10-24,317.52,322.52,317.08,321.87,40591542.0,321.87
2017-10-23,319.47,320.13,316.43,317.52,14053092.0,317.52
2017-10-20,317.3,321.0,316.87,319.26,17026434.0,319.26
2017-10-19,321.87,322.08,317.52,317.95,24776465.0,317.95
2017-10-18,320.13,324.04,319.69,322.3,40030545.0,322.3
2017-10-17,322.08,322.08,319.69,319.91,21388000.0,319.91
2017-10-16,322.95,325.35,321.87,322.74,32363511.0,322.74
2017-10-13,321.65,323.17,321.21,322.52,12645838.0,322.52
2017-10-12,322.52,323.17,321.0,321.21,16055028.0,321.21
2017-10-11,323.39,324.04,321.87,322.3,20893598.0,322.3
2017-10-10,322.3,323.61,321.65,323.17,18449158.0,323.17
2017-10-09,326.22,327.74,321.21,322.3,37425074.0,322.3
2017-09-29,320.35,324.26,320.35,321.43,28859752.0,321.43
2017-09-28,320.34,321.21,319.91,320.56,18667356.0,320.56
2017-09-27,322.08,323.17,319.69,320.56,29437390.0,320.56
2017-09-26,323.39,325.13,321.87,322.3,22924046.0,322.3
2017-09-25,324.48,326.87,321.65,323.39,40843364.0,323.39
2017-09-22,323.39,327.3,319.47,325.78,46979279.0,325.78
2017-09-21,325.35,327.74,324.04,324.48,32633991.0,324.48
2017-09-20,325.35,326.43,323.61,325.78,28716995.0,325.78
2017-09-19,328.39,329.04,324.69,325.78,31846300.0,325.78
2017-09-18,326.87,329.48,326.65,328.83,40418222.0,328.83
2017-09-15,324.48,327.3,323.39,326.0,23961743.0,326.0
