Date,Open,High,Low,Close,Volume,Adj Close
2017-12-29,869.02,878.62,866.62,876.22,50560539.0,876.22
2017-12-28,871.42,876.22,864.22,866.62,55202461.0,866.62
2017-12-27,870.22,883.42,866.62,875.02,89729548.0,875.02
2017-12-26,858.21,876.22,857.01,872.62,68891988.0,872.62
2017-12-25,851.01,879.82,851.01,863.01,102654605.0,863.01
2017-12-22,852.21,854.61,846.21,847.41,29247433.0,847.41
2017-12-21,845.01,864.22,841.41,855.81,65361838.0,855.81
2017-12-20,855.81,857.01,836.61,837.81,80198156.0,837.81
2017-12-19,857.01,859.41,853.41,858.21,20073176.0,858.21
2017-12-18,855.81,859.41,851.01,854.61,18249976.0,854.61
2017-12-15,864.22,865.42,853.41,854.61,31916391.0,854.61
2017-12-14,871.42,876.22,864.22,865.42,25968261.0,865.42
2017-12-13,875.02,876.22,866.62,871.42,26327064.0,871.42
2017-12-12,870.22,881.02,866.62,877.42,59677244.0,877.42
2017-12-11,861.82,876.22,860.62,869.02,45118698.0,869.02
2017-12-08,853.41,872.62,852.21,864.22,55248661.0,864.22
2017-12-07,857.01,871.42,854.61,858.21,46074940.0,858.21
2017-12-06,853.41,864.22,848.61,858.21,40073175.0,858.21
2017-12-05,854.61,863.01,851.01,854.61,38275801.0,854.61
2017-12-04,867.82,867.82,854.61,858.21,53277906.0,858.21
2017-12-01,864.22,885.82,864.22,871.42,49296071.0,871.42
2017-11-30,889.42,890.62,861.82,867.82,72943329.0,867.82
2017-11-29,859.41,897.83,854.61,895.42,110170937.0,895.42
2017-11-28,861.82,865.42,847.41,860.62,50780686.0,860.62
2017-11-27,870.22,876.22,859.41,860.62,37781777.0,860.62
2017-11-24,864.22,872.62,860.62,869.02,44063461.0,869.02
2017-11-23,899.03,899.03,863.02,865.42,83409936.0,865.42
2017-11-22,894.23,912.23,889.42,905.03,93831675.0,905.03
2017-11-21,866.62,905.03,864.22,894.23,76716323.0,894.23
2017-11-20,882.22,884.62,854.61,869.02,61338875.0,869.02
2017-11-17,895.42,906.23,883.42,888.22,72374007.0,888.22
2017-11-16,885.82,905.03,884.62,897.83,58112530.0,897.83
2017-11-15,893.02,894.22,884.62,888.22,28905735.0,888.22
2017-11-14,893.02,896.62,885.82,893.02,36041742.0,893.02
2017-11-13,895.42,900.23,888.22,891.82,46098896.0,891.82
2017-11-10,912.23,913.43,899.02,900.23,49418529.0,900.23
2017-11-09,907.43,914.63,902.62,914.63,54025511.0,914.63
2017-11-08,908.63,933.83,902.62,911.03,114179805.0,911.03
2017-11-07,890.62,911.03,888.22,909.83,65394153.0,909.83
2017-11-06,884.62,891.82,881.02,889.42,38245628.0,889.42
2017-11-03,907.43,909.83,878.62,884.62,52187058.0,884.62
2017-11-02,902.62,905.03,891.82,900.23,50609453.0,900.23
2017-11-01,905.03,918.23,900.23,905.03,64827557.0,905.03
2017-10-31,887.02,903.83,885.82,903.83,38996915.0,903.83
2017-10-30,902.63,907.43,883.42,889.42,56953380.0,889.42
2017-10-27,897.82,908.63,896.62,900.23,43974838.0,900.23
2017-10-26,902.62,906.23,894.22,897.82,44307676.0,897.82
2017-10-25,899.02,913.43,897.82,903.83,55090664.0,903.83
2017-10-24,889.42,903.83,888.22,900.23,52340556.0,900.23
2017-10-23,890.62,890.62,884.62,889.42,26175755.0,889.42
2017-10-20,885.82,893.02,883.42,890.62,30776889.0,890.62
2017-10-19,891.82,895.42,882.22,883.42,42883737.0,883.42
2017-10-18,901.42,909.83,891.82,891.82,48234961.0,891.82
2017-10-17,901.42,906.23,896.62,899.02,32908048.0,899.02
2017-10-16,917.03,919.43,899.02,900.23,47530826.0,900.23
2017-10-13,915.83,918.23,913.43,915.83,29730268.0,915.83
2017-10-12,920.63,921.83,908.63,915.83,39146116.0,915.83
2017-10-11,919.43,924.23,915.83,919.43,50917571.0,919.43
2017-10-10,914.63,921.83,913.43,918.23,43830482.0,918.23
2017-10-09,924.23,926.63,915.83,917.03,55471379.0,917.03
2017-09-29,903.83,909.83,899.02,902.62,32976962.0,902.62
2017-09-28,918.23,921.83,900.22,901.42,51404966.0,901.42
2017-09-27,918.23,926.63,913.43,919.43,32726468.0,919.43
2017-09-26,914.63,923.03,912.23,918.23,44590483.0,918.23
2017-09-25,945.84,945.84,909.83,911.03,111809303.0,911.03
2017-09-22,959.04,963.84,950.64,959.04,55257271.0,959.04
2017-09-21,974.64,978.24,953.04,959.04,85600588.0,959.04
